GLT;Male;Female;Obs1989;Obs1990;Obs1991;Obs1992;Obs1993;Obs1994;Obs1995;Obs1996;Obs1997;Obs1998;Obs1999;Obs2000;Obs2001;Obs2002;Obs2003;Obs2004;Obs2005;Obs2006;Obs2007
CA15;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1
CA16;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1
CB18;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0
CM19;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1
LA23;1;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;1;1;2;1
LA24;1;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;1;1;2;1
LA25;1;0;0;0;0;0;0;0;0;0;0;1;1;0;2;1;1;1;1;2;1
LC14;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;2;1;1
LG7;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1
MC3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1
MC5;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1
P3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
RP3;0;1;0;0;0;0;0;0;0;0;0;1;0;2;2;2;1;2;1;1;1
SE10;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;1;1;1;1;1
W13;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1
W24;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1
W26;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
LA28;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;1;1;1;1
LA29;0;1;0;0;0;0;0;0;0;0;0;0;1;0;2;1;1;1;0;0;0
LA30;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;2;1;1
LC16;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;2;1;1
LC18;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;2;1;1
LC19;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;2;1;1
O25;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1
RL10;0;1;0;0;0;0;0;0;0;0;0;0;1;1;2;1;2;1;1;1;1
RL8;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;2;1;1;1
RL9;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;1;1;1;1
CM18;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;1;1
DI1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
IN6;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
IP1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1;1
K13;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
KL2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
KL4;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
KS3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0
LA34;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;2;1
LC20;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MC6;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MC7;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MC8;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
O21;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
SF1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;1;0
SK13;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
SK14;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;1;1;1
SK15;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
BK6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
CA10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CA11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CA18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CA19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CA20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM24;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM27;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
CM29;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
KL1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
KL3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
KL5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
KS1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
KS2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
KS4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;1
KS5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1
KS6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
LA33;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;1
LA36;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
LA37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;2;1
LB3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
LB4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1
LC15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1
LC21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1
LC22;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1
LG10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
LG5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
LG9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MC9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
O30;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
O31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
P8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
PR1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
PR2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3
RP1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
RS1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
RS2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
SE4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
SE5.1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0
SK5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
W25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
W27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
W28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
DI2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
IP2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;0
IP3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;0
LC24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;1
LG11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
LG12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MC10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MC11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
SK19.1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0
CA21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
ID2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
IG1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
IG2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
JO1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
LC25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1
MB2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
MB3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
O36;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
O37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1
O39;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1
O43;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
RL14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1
RL15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1
IG3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
JO2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
K14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
KL6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
LA39;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
LA42;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
LA43;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
LA47;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
LC26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1
LC27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
MB1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
O42;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1
RL16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SF5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SF6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SH1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SH4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SH5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SH6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SH7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SH8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SH9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
VC1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
VC4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
LB6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MB10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MB12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MB8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MB9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
O41;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
RL23;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
VC1*;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
BI1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
LC30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
LC31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MB13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
SF9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
VC6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
VC7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
CB16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
FC1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IGII;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IP5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
JD2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
JD5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
JD9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SFL;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SH10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VC10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VC17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VC8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
VC9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
WS42;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
