GLT;Obs2009;Obs2010;Obs2011;Obs2012;Obs2013;Obs2014;Obs2015;Obs2016;Obs2017;Obs2018;Obs2019;Obs2020;Obs2021;Obs2022
MP75;0;0;1;1;1;1;1;1;0;0;0;0;0;0
MP79;0;0;1;1;1;1;1;1;0;0;0;0;0;0
MP81;0;0;1;1;1;1;1;1;0;0;0;0;0;0
MP83;0;0;1;1;1;0;0;0;0;0;0;0;0;0
SI16;0;0;1;1;1;1;1;1;1;1;1;1;1;0
SI17;0;0;1;1;1;1;1;1;1;1;1;1;1;0
SP18;0;0;1;2;1;1;1;1;1;1;1;2;1;1
TM8;0;0;1;1;1;1;1;1;1;0;0;0;0;0
TM9;0;0;1;1;1;1;1;1;1;0;0;0;0;0
XT1;0;0;1;2;0;0;0;0;0;0;0;0;0;0
XT2;0;0;1;2;2;0;0;0;0;0;0;0;0;0
1313;0;0;0;1;1;1;0;0;0;0;0;0;0;0
1320;0;0;0;1;1;0;0;0;0;0;0;0;0;0
1321;0;0;0;1;1;0;0;0;0;0;0;0;0;0
1323;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1332;0;0;0;1;1;0;0;0;0;0;0;0;0;0
AX25;0;0;0;1;2;0;0;0;0;0;0;0;0;0
FA6;0;0;0;1;1;1;1;1;1;1;1;1;2;1
JP21;0;0;0;1;1;1;1;1;1;0;0;0;0;0
JP22;0;0;0;1;1;1;1;1;1;0;0;0;0;0
MP40;0;0;0;1;1;1;1;0;0;0;0;0;0;0
MP42;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP43;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP45;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP46;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP48;0;0;0;1;1;1;1;1;1;1;1;1;1;1
MP58;0;0;0;1;1;1;1;1;1;1;1;1;1;1
MP59;0;0;0;1;0;0;0;0;0;0;0;0;0;0
MP60;0;0;0;1;1;1;1;0;0;0;0;0;0;0
MP63;0;0;0;1;0;0;0;0;0;0;0;0;0;0
MP64;0;0;0;1;1;1;1;1;1;1;1;1;1;1
MP66;0;0;0;1;1;1;0;0;0;0;0;0;0;0
MP68;0;0;0;1;1;1;1;1;1;1;1;1;1;1
MP69;0;0;0;1;2;0;0;0;0;0;0;0;0;0
MP72;0;0;0;1;1;1;1;1;1;1;0;0;0;0
MP76;0;0;0;1;1;1;1;1;0;0;0;0;0;0
MP77;0;0;0;1;1;3;1;1;1;1;0;0;0;0
MP78;0;0;0;1;1;1;1;1;0;0;0;0;0;0
MP97;0;0;0;1;1;0;0;0;0;0;0;0;0;0
SI14;0;0;0;1;1;1;1;1;1;2;1;1;1;1
SI18;0;0;0;1;1;1;1;1;1;1;1;1;1;0
SI19;0;0;0;1;1;1;1;1;1;1;1;1;1;0
