GLT;Male;Female;O1989;O1990;O1991;O1992;O1993;O1994;O1995;O1996;O1997;O1998;O1999;O2000;O2001;O2002;O2003;O2004;O2005;O2006;O2007;O2009
IP3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
LC24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
LG11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
LG12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
MC10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
MC11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
CA21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0
ID2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
IG1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0
IG2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0
LC25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
O36;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0
O37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
O39;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
RL14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
RL15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
IG3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0
LA47;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0
LC26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
LC27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0
LC30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
LC31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
JD2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
JD5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
JD9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
SFL;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
VC10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
VC8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
VC9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
WS42;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
