GLT;Male;Female;O2009;O2010;O2011;O2012;O2013;O2014;O2015;O2016;O2017;O2018;O2019;O2020;O2021;O2022
MP172;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1
1372;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1373;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
MP152;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MP153;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MP154;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MP183;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1
FA39;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
MP197;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP198;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP199;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP200;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP244;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP269;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MP242;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP247;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP354;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP355;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP356;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MP270;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP272;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP339;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP448;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP449;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP450;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP451;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP452;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP453;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP489;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
MP490;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
