GLT;Male;Female;O2009;O2010;O2011;O2012;O2013;O2014;O2015;O2016;O2017;O2018;O2019;O2020;O2021;O2022
TM9;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0
XT1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
XT2;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
1313;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
1320;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
1321;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
1323;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1332;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
FA6;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1
JP21;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0
JP22;1;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0
MP40;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
MP42;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP43;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP45;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP46;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP48;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1
MP58;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1
MP59;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
MP60;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0
MP66;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
MP68;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1
MP69;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
MP72;0;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0
MP76;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
MP77;1;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0
MP78;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0
MP97;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
SI14;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1
SI18;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0
SI19;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0
1333;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
