GLT;Male;Female;O1989;O1990;O1991;O1992;O1993;O1994;O1995;O1996;O1997;O1998;O1999;O2000;O2001;O2002;O2003;O2004;O2005;O2006;O2007
SF6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
MB10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MB12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MB8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MB9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
O41;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
RL23;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
BI1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
LC30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
LC31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MB13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
SF9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
CB16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG13;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IGII;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IP5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
JD2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
JD5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
JD9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SFL;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
