GLT;Obs1989;Obs1990;Obs1991;Obs1992;Obs1993;Obs1994;Obs1995;Obs1996;Obs1997;Obs1998;Obs1999;Obs2000;Obs2001;Obs2002;Obs2003;Obs2004;Obs2005;Obs2006;Obs2007
SH7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SH8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
SH9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
VC1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
VC4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
IG4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
LB6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MB10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MB12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MB8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
MB9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
O41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
O44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
O45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
RL23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
VC1*;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
BI1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
LC30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
LC31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
MB13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
SF9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
VC6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
VC7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
CB16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
FC1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IG9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IGII;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
