GLT;Male;Female;Obs2010;Obs2011;Obs2012;Obs2013;Obs2014;Obs2015;Obs2016;Obs2017;Obs2018;Obs2019;Obs2020;Obs2021;Obs2022
MP66;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0
MP68;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1
MP69;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0
MP72;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0
MP76;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0
MP77;0;1;0;0;1;1;3;1;1;1;1;0;0;0;0
MP78;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0
MP97;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0
SI14;0;1;0;0;1;1;1;1;1;1;2;1;1;1;1
SI18;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0
SI19;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0
1333;0;1;0;0;0;1;2;1;1;0;0;0;0;0;0
1336;1;0;0;0;0;1;2;2;0;0;0;0;0;0;0
1357;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0
AF17;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0
AF18;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0
AF19;1;0;0;0;0;1;1;3;1;0;0;0;0;0;0
AF20;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0
FA8;1;0;0;0;0;1;1;1;1;3;1;1;1;1;1
MP80;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1
MP91;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0
MP92;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0
TM12;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1
TM13;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0
TM14;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0
TM15;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0
1341;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1342;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1343;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1345;1;0;0;0;0;0;1;2;1;0;0;0;0;0;0
1346;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1347;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1350;0;1;0;0;0;0;1;1;1;1;1;1;1;0;0
1351;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
1352;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0
1360;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0
1367;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
AF25;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Angela;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0
Cibele;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
Cris;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
FA10;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1
FA11;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0
FA12;0;1;0;0;0;0;1;1;1;2;1;1;0;0;0
FP1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
FP2;0;1;0;0;0;0;1;1;2;0;0;0;0;0;0
MP100;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP102;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1
MP103;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP114;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0
MP120;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
MP124;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0
MP86;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP89;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1
MP94;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1
MP95;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0
MP96;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0
MP98;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0
Nelson;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0
Rodrigo;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0
SI20;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0
SP20;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0
SP23;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0
SP24;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0
SP25;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1353;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1354;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0
1355;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0
1358;0;1;0;0;0;0;0;1;1;1;1;1;1;0;0
1359;1;0;0;0;0;0;0;1;1;1;1;1;1;0;0
1370;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
1371;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
EB1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0
EB2;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0
EB3;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0
EB4;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0
FA15;0;1;0;0;0;0;0;1;1;3;0;0;0;1;1
FA16;0;1;0;0;0;0;0;1;1;3;1;1;0;0;0
FP3;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
FP4;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0
MP112;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0
MP113;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0
MP115;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0
MP118;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP119;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP127;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP128;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP129;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1
MP131;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0
MP132;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0
SP26;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
TM16;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0
TM17;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0
TM18;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0
TM20;1;0;0;0;0;0;0;1;1;1;2;1;0;0;0
1361;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0
1365;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1366;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
FA19;1;0;0;0;0;0;0;0;1;3;1;1;1;1;1
FA20;1;0;0;0;0;0;0;0;1;3;0;0;0;0;0
FP6;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0
MP141;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1
MP142;0;1;0;0;0;0;0;0;1;1;1;1;1;2;1
MP152;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MP153;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1
MP172.1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0
MP173;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
MP174;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
MP175;0;1;0;0;0;0;0;0;1;2;1;1;1;1;0
TM19;1;0;0;0;0;0;0;0;1;1;1;1;1;1;1
TM21;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
TM22;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0
1372;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1373;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
1389;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0
FA21;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1
FA22;0;1;0;0;0;0;0;0;0;1;3;1;0;3;1
FA25;0;1;0;0;0;0;0;0;0;1;3;1;0;0;0
FA26;1;0;0;0;0;0;0;0;0;1;3;1;1;1;1
FP7;0;1;0;0;0;0;0;0;0;1;1;2;0;0;0
MP154;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MP155;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MP156;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1
MP176;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
MP177;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0
