Group;MinYear;MaxYear;Duration;N;UMMPs;Farm;Long;Lat;Fragment.Region;To include
IPE;2022;2022;0;4;NA;NA;NA;NA;NA;1
Jaguar;2007;2009;2;4;NA;NA;NA;NA;NA;0
LB4;2022;2022;0;4;NA;NA;NA;NA;NA;1
LD;2011;2011;0;4;Pirineus;Pirineus;753829;7511316;Pirineus;0
RS2;2007;2007;0;4;NA;NA;NA;NA;NA;0
SS2;2005;2007;2;4;NA;NA;NA;NA;NA;0
SS3;2022;2022;0;4;NA;NA;NA;NA;NA;1
ST10;2001;2003;2;4;NA;NA;NA;NA;NA;0
AT2;2004;2005;1;3;NA;NA;NA;NA;NA;0
Fusao;2009;2009;0;3;NA;NA;NA;NA;NA;0
GN;2017;2019;2;3;Poco das Antas;Poco das Antas;777313;7505844;Poco das Antas;0
MB2;2007;2007;0;3;NA;NA;NA;NA;NA;0
MR;2009;2009;0;3;NA;NA;NA;NA;NA;0
AX3;2007;2007;0;2;NA;NA;NA;NA;NA;0
DC;1993;1995;2;2;NA;NA;NA;NA;NA;0
FA12;2016;2016;0;2;NA;NA;NA;NA;NA;0
FA16;2017;2017;0;2;NA;NA;NA;NA;NA;0
FN2;2022;2022;0;2;NA;NA;NA;NA;NA;1
FU2;2013;2013;0;2;Uniao I;Rebio Uniao;806612;7517300;Rebio Uniao;0
LB3;2022;2022;0;2;NA;NA;NA;NA;NA;1
LB9;2022;2022;0;2;NA;NA;NA;NA;NA;1
PE;1996;1998;2;2;NA;NA;NA;NA;NA;0
RL24;2006;2007;1;2;NA;NA;NA;NA;NA;0
SS1;2022;2022;0;2;NA;NA;NA;NA;NA;1
ST3;2005;2005;0;2;NA;NA;NA;NA;NA;0
TR12;2001;2001;0;2;NA;NA;NA;NA;NA;0
TRII;2009;2009;0;2;NA;NA;NA;NA;NA;0
AXII;2006;2006;0;1;NA;NA;NA;NA;NA;0
CB;1998;1998;0;1;Aldeia I;Faz. Coqueiros;777446;7509902;Faz. Coqueiros;0
CB6;2000;2000;0;1;NA;NA;NA;NA;NA;0
FPII;2020;2020;0;1;NA;NA;NA;NA;NA;0
JM;2022;2022;0;1;NA;NA;NA;NA;NA;1
JM2;2022;2022;0;1;NA;NA;NA;NA;NA;1
JU;2022;2022;0;1;NA;NA;NA;NA;NA;1
NA;1998;1998;0;1;NA;NA;NA;NA;NA;0
OD;2022;2022;0;1;NA;NA;NA;NA;NA;1
PA2;2002;2002;0;1;Rio Vermelho;Faz. Rio Vermelho;749697;7485837;Faz. Rio Vermelho;0
PSG2;2022;2022;0;1;NA;NA;NA;NA;NA;1
PT2;2022;2022;0;1;NA;NA;NA;NA;NA;1
PT3;2022;2022;0;1;NA;NA;NA;NA;NA;1
SEII;1998;1998;0;1;NA;NA;NA;NA;NA;0
SP3;2006;2006;0;1;NA;NA;NA;NA;NA;0
TB;2022;2022;0;1;NA;NA;NA;NA;NA;1
Viveiro;1996;1996;0;1;NA;NA;NA;NA;NA;0
ZM;2022;2022;0;1;NA;NA;NA;NA;NA;1
ZN;2022;2022;0;1;NA;NA;NA;NA;NA;1
